Wall distance (mm),Velocity (m/s)
0,0
0.2,2.8299
0.4,4.002
0.6,5.6597
0.8,6.3278
1,6.9317
1.2,7.4871
1.4,8.0041
1.6,8.0041
1.8,8.2504
2,8.4896
2.2,8.9488
2.7,8.9488
3.2,8.9488
3.7,8.9488
4.2,8.9488
5.2,8.9488
6.2,8.9488
8.2,8.9488
10.2,8.9488
